,Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,lemmatized_text,pos_tags,senti_score,Overall Sentiment
0,0,1281532438116589571,LawyalAssociat1,1569594156955369472,2022-09-13 07:49:43+00:00,"St Stephens College Vs. University of Delhi and Anr.

 #lawschool #lawstudent #justice #supremecourt #advocate #legalnews #lawyering #court #indianpolitics #indianlaw #attorneyatlaw #litigation #delhi #highcourt #advocates #indianjudiciary #article30 https://t.co/IOqXys9mR2",en,0,44,st stephen college v university of delhi and anr URL ,"['st', 'stephen', 'college', 'v', 'university', 'of', 'delhi', 'and', 'anr', 'URL']","[('st', 'NN'), ('stephen', 'NN'), ('college', 'NN'), ('v', 'NNP'), ('university', 'NN'), ('of', 'IN'), ('delhi', 'NN'), ('and', 'CC'), ('anr', 'NN'), ('URL', 'NNP')]",0.0,Neutral
1,6,876972240608280576,merelybhai,1569553548203130880,2022-09-13 05:08:21+00:00,"Next Hero in #IndianPolitics 
@kanhaiyakumar @RahulGandhi 
#भारत_जोड़ो_यात्रा #BharatJodoYatra https://t.co/b99kCyoGGL",en,0,218,next hero in URL ,"['next', 'hero', 'in', 'URL']","[('next', 'JJ'), ('hero', 'NN'), ('in', 'IN'), ('URL', 'NNP')]",0.5,Positive
2,9,64936665,natiqhaque,1569522535800381441,2022-09-13 03:05:07+00:00,"@bharatjodo This is so very #true, #pure n' #organic fan following of any political leader .. 

An old man of #Kerela going #Gaga on #BharatJodoYatra anthem song who was filled with joy after meeting with the real hero, fighter n' the future of #IndianPolitics Shri @RahulGandhi Ji. https://t.co/zOTd9hTLMy",en,0,1999,this is so very fan following of any political leader an old man of going on anthem song who wa filled with joy after meeting with the real hero fighter the future of shri ji URL ,"['this', 'is', 'so', 'very', 'fan', 'following', 'of', 'any', 'political', 'leader', 'an', 'old', 'man', 'of', 'going', 'on', 'anthem', 'song', 'who', 'wa', 'filled', 'with', 'joy', 'after', 'meeting', 'with', 'the', 'real', 'hero', 'fighter', 'the', 'future', 'of', 'shri', 'ji', 'URL']","[('this', 'DT'), ('is', 'VBZ'), ('so', 'RB'), ('very', 'RB'), ('fan', 'JJ'), ('following', 'NN'), ('of', 'IN'), ('any', 'DT'), ('political', 'JJ'), ('leader', 'NN'), ('an', 'DT'), ('old', 'JJ'), ('man', 'NN'), ('of', 'IN'), ('going', 'VBG'), ('on', 'IN'), ('anthem', 'NN'), ('song', 'NN'), ('who', 'WP'), ('wa', 'VBZ'), ('filled', 'VBN'), ('with', 'IN'), ('joy', 'NN'), ('after', 'IN'), ('meeting', 'VBG'), ('with', 'IN'), ('the', 'DT'), ('real', 'JJ'), ('hero', 'NN'), ('fighter', 'NN'), ('the', 'DT'), ('future', 'NN'), ('of', 'IN'), ('shri', 'JJ'), ('ji', 'NN'), ('URL', 'NNP')]",1.625,Positive
3,10,118291893,arunjeba,1569520799765372928,2022-09-13 02:58:13+00:00,"#IndianPolitics
#BharatJodoYatra
#RahulGandhi #INC

Day.7... #RG &amp; #Yatris For Love, Peace and Unity in Diversity... Walks to engage with different walls of life.. 

#Kaniyapuram to #Kallambalam (Thiruvanadhapuram Dt, Kerala) https://t.co/fWYwKZ6m1n",en,0,3516,day amp for love peace and unity in diversity walk to engage with different wall of life to thiruvanadhapuram dt kerala URL ,"['day', 'amp', 'for', 'love', 'peace', 'and', 'unity', 'in', 'diversity', 'walk', 'to', 'engage', 'with', 'different', 'wall', 'of', 'life', 'to', 'thiruvanadhapuram', 'dt', 'kerala', 'URL']","[('day', 'NN'), ('amp', 'VB'), ('for', 'IN'), ('love', 'NN'), ('peace', 'NN'), ('and', 'CC'), ('unity', 'NN'), ('in', 'IN'), ('diversity', 'NN'), ('walk', 'NN'), ('to', 'TO'), ('engage', 'VB'), ('with', 'IN'), ('different', 'JJ'), ('wall', 'NN'), ('of', 'IN'), ('life', 'NN'), ('to', 'TO'), ('thiruvanadhapuram', 'VB'), ('dt', 'JJ'), ('kerala', 'NN'), ('URL', 'NNP')]",2.25,Positive
4,12,1567353485691338758,gs_abhiraj,1569367549921624064,2022-09-12 16:49:15+00:00,"Team Selection.... 👌Awesome ....🫡
The Performance Of The Indian Team in #T20WorldCup2022  will be similar to the performance of the indian team in #AsiaCupT20 🤣🤣🤣
#PoliticsInIndianCricket #indianpolitics #SanjuSamson #SanjuSamsonforT20WC #Cricket #ipl2022 #ipl #ViratKohli https://t.co/m8XIpJ8l5L",en,0,1,team selection awesome the performance of the indian team in will be similar to the performance of the indian team in URL ,"['team', 'selection', 'awesome', 'the', 'performance', 'of', 'the', 'indian', 'team', 'in', 'will', 'be', 'similar', 'to', 'the', 'performance', 'of', 'the', 'indian', 'team', 'in', 'URL']","[('team', 'NN'), ('selection', 'NN'), ('awesome', 'IN'), ('the', 'DT'), ('performance', 'NN'), ('of', 'IN'), ('the', 'DT'), ('indian', 'JJ'), ('team', 'NN'), ('in', 'IN'), ('will', 'MD'), ('be', 'VB'), ('similar', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('performance', 'NN'), ('of', 'IN'), ('the', 'DT'), ('indian', 'JJ'), ('team', 'NN'), ('in', 'IN'), ('URL', 'NNP')]",0.625,Positive
5,13,118291893,arunjeba,1569353972066189314,2022-09-12 15:55:18+00:00,"#IndianPolitics
#BharatJodYatra
#RahulGandhi #INC

Pic of the day... https://t.co/NMY5IhFSxR",en,0,3516,pic of the day URL ,"['pic', 'of', 'the', 'day', 'URL']","[('pic', 'NN'), ('of', 'IN'), ('the', 'DT'), ('day', 'NN'), ('URL', 'NNP')]",0.0,Neutral
6,15,118291893,arunjeba,1569325288391323650,2022-09-12 14:01:20+00:00,"#IndianPolitics

#BJP says ""Congress mukt bharat"" for past 8 years

Now only after 8 years #Congress posted one tweet resemble to their own tone... All #BJP #Sanghis get rattled... LoL https://t.co/DlIeFp7npp",en,0,3516,say congress mukt bharat for past year now only after year posted one tweet resemble to their own tone all get rattled lol URL ,"['say', 'congress', 'mukt', 'bharat', 'for', 'past', 'year', 'now', 'only', 'after', 'year', 'posted', 'one', 'tweet', 'resemble', 'to', 'their', 'own', 'tone', 'all', 'get', 'rattled', 'lol', 'URL']","[('say', 'VB'), ('congress', 'NN'), ('mukt', 'JJ'), ('bharat', 'NN'), ('for', 'IN'), ('past', 'JJ'), ('year', 'NN'), ('now', 'RB'), ('only', 'RB'), ('after', 'IN'), ('year', 'NN'), ('posted', 'VBD'), ('one', 'CD'), ('tweet', 'NN'), ('resemble', 'NN'), ('to', 'TO'), ('their', 'PRP$'), ('own', 'JJ'), ('tone', 'NN'), ('all', 'DT'), ('get', 'VBP'), ('rattled', 'VBN'), ('lol', 'NN'), ('URL', 'NN')]",0.0,Neutral
7,20,1254790470674202629,NewsNowNation,1569299618483306497,2022-09-12 12:19:19+00:00,"SP MLC Swami Prasad Maurya will increase in stature in the party, has got this big responsibility.#government #politics #india #indianpolitics #todaynews #viral #trending #newsnownation #Update #Newsnight  #NewsZERO #newsevery #newstoday #Updates #NewsUpdate @GauravVirendraA https://t.co/PP8ZJxbkNG",en,0,764,sp mlc swami prasad maurya will increase in stature in the party ha got this big responsibility URL ,"['sp', 'mlc', 'swami', 'prasad', 'maurya', 'will', 'increase', 'in', 'stature', 'in', 'the', 'party', 'ha', 'got', 'this', 'big', 'responsibility', 'URL']","[('sp', 'NN'), ('mlc', 'NN'), ('swami', 'NN'), ('prasad', 'NN'), ('maurya', 'NN'), ('will', 'MD'), ('increase', 'VB'), ('in', 'IN'), ('stature', 'NN'), ('in', 'IN'), ('the', 'DT'), ('party', 'NN'), ('ha', 'NN'), ('got', 'VBD'), ('this', 'DT'), ('big', 'JJ'), ('responsibility', 'NN'), ('URL', 'NNP')]",0.875,Positive
8,21,959772715698806784,ArjunKaFan_,1569297483947462656,2022-09-12 12:10:50+00:00,"Me by me 

Naked Reality…
#indianparliament 
#indianpolitics 
#bjp #narendramodi 
#congress #soniagandhi #rahulgandhi 
#memes #meme #memes😂 #memedaily https://t.co/d3L3zSoTd9",en,1,1127,me by me naked reality URL ,"['me', 'by', 'me', 'naked', 'reality', 'URL']","[('me', 'PRP'), ('by', 'IN'), ('me', 'PRP'), ('naked', 'JJ'), ('reality', 'NN'), ('URL', 'NNP')]",0.5,Positive
9,26,860315901257629696,SanjeevTOIdelhi,1569255620569866241,2022-09-12 09:24:29+00:00,"Father-Son of the Nation.
Memento received by PM Narendra Modi

© Sanjeev Rastogi

#namo #narendramodi #gandhi #india #indianpolitics #modi #delhi #politics  #fatherofthenation #sonofthenation https://t.co/GL7bqLzDSm",en,0,110,father son of the nation memento received by pm narendra modi sanjeev rastogi URL ,"['father', 'son', 'of', 'the', 'nation', 'memento', 'received', 'by', 'pm', 'narendra', 'modi', 'sanjeev', 'rastogi', 'URL']","[('father', 'PRP$'), ('son', 'NN'), ('of', 'IN'), ('the', 'DT'), ('nation', 'NN'), ('memento', 'NN'), ('received', 'VBN'), ('by', 'IN'), ('pm', 'NN'), ('narendra', 'NNS'), ('modi', 'VBP'), ('sanjeev', 'JJ'), ('rastogi', 'NN'), ('URL', 'NNP')]",0.0,Neutral
