,Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,lemmatized_text,pos_tags,senti_score,Overall Sentiment
0,10,1560192374814298112,rakeshpatel_87,1569260051470372866,2022-09-12 09:42:06+00:00,"@KapilMishra_IND BJP: Guj people not fools, they will never vote AAP
Also BJP: Delhi se Kapil Mishra, Delhi Govt k scam ko expose karne, Guj k dhakke kha raha hai! 😂 
Bhai expose karna hi hai to ED CBI k age jake karna.
#KapilExposesKejriwal #Gujarat",en,0,1,bjp guj people not fool they will never vote aap also bjp delhi se kapil mishra delhi govt scam ko expose karne guj dhakke kha raha hai bhai expose karna hi hai to ed cbi age jake karna ,"['bjp', 'guj', 'people', 'not', 'fool', 'they', 'will', 'never', 'vote', 'aap', 'also', 'bjp', 'delhi', 'se', 'kapil', 'mishra', 'delhi', 'govt', 'scam', 'ko', 'expose', 'karne', 'guj', 'dhakke', 'kha', 'raha', 'hai', 'bhai', 'expose', 'karna', 'hi', 'hai', 'to', 'ed', 'cbi', 'age', 'jake', 'karna']","[('bjp', 'NN'), ('guj', 'NN'), ('people', 'NNS'), ('not', 'RB'), ('fool', 'IN'), ('they', 'PRP'), ('will', 'MD'), ('never', 'RB'), ('vote', 'VB'), ('aap', 'NN'), ('also', 'RB'), ('bjp', 'VBZ'), ('delhi', 'JJ'), ('se', 'NN'), ('kapil', 'NN'), ('mishra', 'NN'), ('delhi', 'NN'), ('govt', 'NN'), ('scam', 'NN'), ('ko', 'NN'), ('expose', 'JJ'), ('karne', 'JJ'), ('guj', 'NN'), ('dhakke', 'NN'), ('kha', 'NN'), ('raha', 'NN'), ('hai', 'NN'), ('bhai', 'NN'), ('expose', 'VBP'), ('karna', 'NNS'), ('hi', 'VBP'), ('hai', 'NN'), ('to', 'TO'), ('ed', 'VB'), ('cbi', 'JJ'), ('age', 'NN'), ('jake', 'NN'), ('karna', 'NN')]",0.0,Neutral
1,11,4774134079,RanjanPathak83,1569242913409998850,2022-09-12 08:34:00+00:00,"Weldone @KapilMishra_IND भाई

#KapilExposesKejriwal https://t.co/T6Z98pje8l",en,0,93,weldone URL ,"['weldone', 'URL']","[('weldone', 'NN'), ('URL', 'NN')]",0.0,Neutral
2,35,1526489823187709952,SwatiMi2012,1568960691708768257,2022-09-11 13:52:33+00:00,"Delhi govt has stopped supplying sanitary napkins to 30,000 girls under Udaan scheme …..  2.5 saal se iske paise b nhi hai @ArvindKejriwal  ji aur kya kya free bantoge ??? #ArvindKejriwal  #BadDecisions  #KapilExposesKejriwal https://t.co/9As53BUjHP",en,0,39,delhi govt ha stopped supplying sanitary napkin to 30 00 girl under udaan scheme saal se iske paisa nhi hai ji aur kya kya free bantoge URL ,"['delhi', 'govt', 'ha', 'stopped', 'supplying', 'sanitary', 'napkin', 'to', '30', '00', 'girl', 'under', 'udaan', 'scheme', 'saal', 'se', 'iske', 'paisa', 'nhi', 'hai', 'ji', 'aur', 'kya', 'kya', 'free', 'bantoge', 'URL']","[('delhi', 'NN'), ('govt', 'NN'), ('ha', 'NN'), ('stopped', 'VBD'), ('supplying', 'VBG'), ('sanitary', 'JJ'), ('napkin', 'NNS'), ('to', 'TO'), ('30', 'CD'), ('00', 'CD'), ('girl', 'NN'), ('under', 'IN'), ('udaan', 'JJ'), ('scheme', 'NN'), ('saal', 'NN'), ('se', 'NN'), ('iske', 'NN'), ('paisa', 'NN'), ('nhi', 'JJ'), ('hai', 'NN'), ('ji', 'NN'), ('aur', 'NN'), ('kya', 'NN'), ('kya', 'VBD'), ('free', 'JJ'), ('bantoge', 'NN'), ('URL', 'NNP')]",1.125,Positive
3,76,1508866092173004801,WataneUjwala,1568926448219729920,2022-09-11 11:36:29+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus",en,0,22,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel ,"['god', 'is', 'not', 'formless', 'he', 'is', 'in', 'form', 'according', 'to', 'the', 'holy', 'bible', 'must', 'watch', 'sadhna', 'tv', 'at', '30', 'pm', 'visit', 'sa', 'news', 'channel']","[('god', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('formless', 'JJ'), ('he', 'PRP'), ('is', 'VBZ'), ('in', 'IN'), ('form', 'NN'), ('according', 'VBG'), ('to', 'TO'), ('the', 'DT'), ('holy', 'NN'), ('bible', 'JJ'), ('must', 'MD'), ('watch', 'VB'), ('sadhna', 'JJ'), ('tv', 'NN'), ('at', 'IN'), ('30', 'CD'), ('pm', 'JJ'), ('visit', 'NN'), ('sa', 'JJ'), ('news', 'NN'), ('channel', 'NN')]",0.125,Positive
4,80,1563933081907920896,ujjupatil1,1568886630634909696,2022-09-11 08:58:15+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus",en,0,58,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel ,"['god', 'is', 'not', 'formless', 'he', 'is', 'in', 'form', 'according', 'to', 'the', 'holy', 'bible', 'must', 'watch', 'sadhna', 'tv', 'at', '30', 'pm', 'visit', 'sa', 'news', 'channel']","[('god', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('formless', 'JJ'), ('he', 'PRP'), ('is', 'VBZ'), ('in', 'IN'), ('form', 'NN'), ('according', 'VBG'), ('to', 'TO'), ('the', 'DT'), ('holy', 'NN'), ('bible', 'JJ'), ('must', 'MD'), ('watch', 'VB'), ('sadhna', 'JJ'), ('tv', 'NN'), ('at', 'IN'), ('30', 'CD'), ('pm', 'JJ'), ('visit', 'NN'), ('sa', 'JJ'), ('news', 'NN'), ('channel', 'NN')]",0.125,Positive
5,91,1206954478089326592,Mitagrn,1568853274417332225,2022-09-11 06:45:43+00:00,"The #HalfWayHome, Narsinghgarh, #WestTripura run by the #SW&amp;SE is going to be #inaugurated by the C.M of Tripura on 12.09.2022 without allowing the employees employed by the #Uutsourcing company to join the work.

#KapilExposesKejriwal, #JanaSpandana, #Chinmayi, #PradyotManikya https://t.co/dVfbar5ukg",en,0,21,the narsinghgarh run by the is going to be by the of tripura on 12 09 2022 without allowing the employee employed by the company to join the work URL ,"['the', 'narsinghgarh', 'run', 'by', 'the', 'is', 'going', 'to', 'be', 'by', 'the', 'of', 'tripura', 'on', '12', '09', '2022', 'without', 'allowing', 'the', 'employee', 'employed', 'by', 'the', 'company', 'to', 'join', 'the', 'work', 'URL']","[('the', 'DT'), ('narsinghgarh', 'JJ'), ('run', 'NN'), ('by', 'IN'), ('the', 'DT'), ('is', 'VBZ'), ('going', 'VBG'), ('to', 'TO'), ('be', 'VB'), ('by', 'IN'), ('the', 'DT'), ('of', 'IN'), ('tripura', 'NN'), ('on', 'IN'), ('12', 'CD'), ('09', 'CD'), ('2022', 'CD'), ('without', 'IN'), ('allowing', 'VBG'), ('the', 'DT'), ('employee', 'NN'), ('employed', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('company', 'NN'), ('to', 'TO'), ('join', 'VB'), ('the', 'DT'), ('work', 'NN'), ('URL', 'NNP')]",0.0,Neutral
6,101,1386509636140818433,PrishaDassi,1568825022638362624,2022-09-11 04:53:27+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus
https://t.co/LDqsNhmxAz",en,0,255,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel URL ,"['god', 'is', 'not', 'formless', 'he', 'is', 'in', 'form', 'according', 'to', 'the', 'holy', 'bible', 'must', 'watch', 'sadhna', 'tv', 'at', '30', 'pm', 'visit', 'sa', 'news', 'channel', 'URL']","[('god', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('formless', 'JJ'), ('he', 'PRP'), ('is', 'VBZ'), ('in', 'IN'), ('form', 'NN'), ('according', 'VBG'), ('to', 'TO'), ('the', 'DT'), ('holy', 'NN'), ('bible', 'JJ'), ('must', 'MD'), ('watch', 'VB'), ('sadhna', 'JJ'), ('tv', 'NN'), ('at', 'IN'), ('30', 'CD'), ('pm', 'JJ'), ('visit', 'NN'), ('sa', 'JJ'), ('news', 'NN'), ('channel', 'NNS'), ('URL', 'VBP')]",0.125,Positive
7,111,1516624085765488641,rawat098anil,1568811689566674944,2022-09-11 04:00:28+00:00,"#KapilExposesKejriwal
Can't stop laughing 🤣🤣🤣

#Kejriwal_with_Khalistan 
#KejriwalKiGuarantee 
#KejriwalFailsDelhi https://t.co/5kgK9aGUM6",en,0,437,can stop laughing URL ,"['can', 'stop', 'laughing', 'URL']","[('can', 'MD'), ('stop', 'VB'), ('laughing', 'NN'), ('URL', 'NNP')]",0.0,Neutral
8,124,1420343268953362437,realhindutiger,1568668298522542080,2022-09-10 18:30:41+00:00,"#KapilExposesKejriwal should be trend in all over India.

Everyone aware with the reality of @ArvindKejriwal Delhi Model.

Keep it up @KapilMishra_IND https://t.co/91l6gUbZiU",en,0,24,should be trend in all over india everyone aware with the reality of delhi model keep it up URL ,"['should', 'be', 'trend', 'in', 'all', 'over', 'india', 'everyone', 'aware', 'with', 'the', 'reality', 'of', 'delhi', 'model', 'keep', 'it', 'up', 'URL']","[('should', 'MD'), ('be', 'VB'), ('trend', 'NN'), ('in', 'IN'), ('all', 'DT'), ('over', 'IN'), ('india', 'JJ'), ('everyone', 'NN'), ('aware', 'JJ'), ('with', 'IN'), ('the', 'DT'), ('reality', 'NN'), ('of', 'IN'), ('delhi', 'NN'), ('model', 'NN'), ('keep', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('URL', 'NNP')]",0.5,Positive
9,138,1502979555048534021,delhi_ka_pappu,1568644115822432256,2022-09-10 16:54:35+00:00,"Look how FRAUD Kejriwal is making a fool of public by pretending to be ""Aam Aadmi"" but Actually he is Khaas VIP Aadmi 
मैं तो ऐसा ही हूं जी आपका रेवाड़ीवाल 😂😂😂

#KapilExposesKejriwal https://t.co/eQPlFWMxjH",en,0,18,look how fraud kejriwal is making fool of public by pretending to be aam aadmi but actually he is khaas vip aadmi URL ,"['look', 'how', 'fraud', 'kejriwal', 'is', 'making', 'fool', 'of', 'public', 'by', 'pretending', 'to', 'be', 'aam', 'aadmi', 'but', 'actually', 'he', 'is', 'khaas', 'vip', 'aadmi', 'URL']","[('look', 'VB'), ('how', 'WRB'), ('fraud', 'NN'), ('kejriwal', 'NN'), ('is', 'VBZ'), ('making', 'VBG'), ('fool', 'NN'), ('of', 'IN'), ('public', 'JJ'), ('by', 'IN'), ('pretending', 'VBG'), ('to', 'TO'), ('be', 'VB'), ('aam', 'JJ'), ('aadmi', 'NNS'), ('but', 'CC'), ('actually', 'RB'), ('he', 'PRP'), ('is', 'VBZ'), ('khaas', 'JJ'), ('vip', 'JJ'), ('aadmi', 'NN'), ('URL', 'NNP')]",1.0,Positive
