Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
10,1560192374814298112,rakeshpatel_87,1569260051470372866,2022-09-12 09:42:06+00:00,"@KapilMishra_IND BJP: Guj people not fools, they will never vote AAP
Also BJP: Delhi se Kapil Mishra, Delhi Govt k scam ko expose karne, Guj k dhakke kha raha hai! 😂 
Bhai expose karna hi hai to ED CBI k age jake karna.
#KapilExposesKejriwal #Gujarat",en,0,1,bjp guj people not fool they will never vote aap also bjp delhi se kapil mishra delhi govt scam ko expose karne guj dhakke kha raha hai bhai expose karna hi hai to ed cbi age jake karna 
11,4774134079,RanjanPathak83,1569242913409998850,2022-09-12 08:34:00+00:00,"Weldone @KapilMishra_IND भाई

#KapilExposesKejriwal https://t.co/T6Z98pje8l",en,0,93,weldone URL 
35,1526489823187709952,SwatiMi2012,1568960691708768257,2022-09-11 13:52:33+00:00,"Delhi govt has stopped supplying sanitary napkins to 30,000 girls under Udaan scheme …..  2.5 saal se iske paise b nhi hai @ArvindKejriwal  ji aur kya kya free bantoge ??? #ArvindKejriwal  #BadDecisions  #KapilExposesKejriwal https://t.co/9As53BUjHP",en,0,39,delhi govt ha stopped supplying sanitary napkin to 30 00 girl under udaan scheme saal se iske paisa nhi hai ji aur kya kya free bantoge URL 
76,1508866092173004801,WataneUjwala,1568926448219729920,2022-09-11 11:36:29+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus",en,0,22,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel 
80,1563933081907920896,ujjupatil1,1568886630634909696,2022-09-11 08:58:15+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus",en,0,58,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel 
91,1206954478089326592,Mitagrn,1568853274417332225,2022-09-11 06:45:43+00:00,"The #HalfWayHome, Narsinghgarh, #WestTripura run by the #SW&amp;SE is going to be #inaugurated by the C.M of Tripura on 12.09.2022 without allowing the employees employed by the #Uutsourcing company to join the work.

#KapilExposesKejriwal, #JanaSpandana, #Chinmayi, #PradyotManikya https://t.co/dVfbar5ukg",en,0,21,the narsinghgarh run by the is going to be by the of tripura on 12 09 2022 without allowing the employee employed by the company to join the work URL 
101,1386509636140818433,PrishaDassi,1568825022638362624,2022-09-11 04:53:27+00:00,"#KapilExposesKejriwal
God is not formless. He is in form.
According to the holy Bible.
Must Watch Sadhna TV at 7 30 pm
Visit SA News Channel 📰.
#UntoldTruthOfJesus
https://t.co/LDqsNhmxAz",en,0,255,god is not formless he is in form according to the holy bible must watch sadhna tv at 30 pm visit sa news channel URL 
111,1516624085765488641,rawat098anil,1568811689566674944,2022-09-11 04:00:28+00:00,"#KapilExposesKejriwal
Can't stop laughing 🤣🤣🤣

#Kejriwal_with_Khalistan 
#KejriwalKiGuarantee 
#KejriwalFailsDelhi https://t.co/5kgK9aGUM6",en,0,437,can stop laughing URL 
124,1420343268953362437,realhindutiger,1568668298522542080,2022-09-10 18:30:41+00:00,"#KapilExposesKejriwal should be trend in all over India.

Everyone aware with the reality of @ArvindKejriwal Delhi Model.

Keep it up @KapilMishra_IND https://t.co/91l6gUbZiU",en,0,24,should be trend in all over india everyone aware with the reality of delhi model keep it up URL 
138,1502979555048534021,delhi_ka_pappu,1568644115822432256,2022-09-10 16:54:35+00:00,"Look how FRAUD Kejriwal is making a fool of public by pretending to be ""Aam Aadmi"" but Actually he is Khaas VIP Aadmi 
मैं तो ऐसा ही हूं जी आपका रेवाड़ीवाल 😂😂😂

#KapilExposesKejriwal https://t.co/eQPlFWMxjH",en,0,18,look how fraud kejriwal is making fool of public by pretending to be aam aadmi but actually he is khaas vip aadmi URL 
142,4076494032,BalbirS28928968,1568640153887064065,2022-09-10 16:38:51+00:00,Salute to you sir #KapilExposesKejriwal,en,0,426,salute to you sir 
146,1556993011577262080,mindfreakdesi,1568635469705117698,2022-09-10 16:20:14+00:00,"Its funny when CM of state with unemployment rate of 8.8%, comes to state (with unemployment rate of 1.8%) and says ""they need change"" #KapilExposesKejriwal",en,0,1,it funny when cm of state with unemployment rate of come to state with unemployment rate of and say they need change 
149,1177843102444220416,CitiesTrends,1568632896948260865,2022-09-10 16:10:01+00:00,"Currently trending in #Allahabad: 1. #KapilExposesKejriwal (27170),2. #BoycottMarriage (10312),3. Fun Loving Sushant (13847),4. PRATIK DEBUT AS RUDRA (41969) https://t.co/ZdrzzSyquT",en,0,23,currently trending in 27170 10312 fun loving sushant 13847 pratik debut a rudra 41969 URL 
166,1177843102444220416,CitiesTrends,1568622828592807936,2022-09-10 15:30:00+00:00,"Currently trending in #Allahabad: 1. #kapilexposeskejriwal (25727),2. prathna era begins (35472),3. MVARMY FOCUS ON VICTORY (48647),4. Rahul Gandhi (101895) https://t.co/6Ch6XW4gQV",en,0,23,currently trending in 25727 prathna era begin 35472 mvarmy focus on victory 48647 rahul gandhi 101895 URL 
178,1177843102444220416,CitiesTrends,1568613770976702464,2022-09-10 14:54:01+00:00,"Currently trending in #Allahabad: 1. #kapilexposeskejriwal (25727),2. prathna era begins (35472),3. MVARMY FOCUS ON VICTORY (48647),4. Rahul Gandhi (101895) https://t.co/0cqfnB6rjd",en,0,23,currently trending in 25727 prathna era begin 35472 mvarmy focus on victory 48647 rahul gandhi 101895 URL 
182,1566099721873084416,ricky79805660,1568612321433632769,2022-09-10 14:48:15+00:00,"Real face of Islam and mohmmd,https://t.co/OYfWgdZ23O, #KapilExposesKejriwal",en,0,0,real face of islam and mohmmd URL 
183,1566099721873084416,ricky79805660,1568612209475076097,2022-09-10 14:47:48+00:00,"#KapilExposesKejriwal, https://t.co/OYfWgdZ23O, real face of Islam and mohmmd",en,0,0,URL real face of islam and mohmmd 
200,1284014372067487745,im_Ritika_,1568603056467775496,2022-09-10 14:11:26+00:00,"Arvind kejriwal's trick of winning elections by offering freebies won't work in Gujarat.

#KapilExposesKejriwal https://t.co/SHzR9LTbaJ",en,0,4249,arvind kejriwal trick of winning election by offering freebie won work in gujarat URL 
206,1085193165701664777,HumbleRekha,1568598352337727491,2022-09-10 13:52:45+00:00,"I don't think any of Gujarati will be trapped in Kejriwal's false narration 👍
#KapilExposesKejriwal https://t.co/sXJO2hHbCV",en,0,1012,don think any of gujarati will be trapped in kejriwal false narration URL 
219,1320730931569700864,RitaSinghal6,1568586475373207555,2022-09-10 13:05:33+00:00,"#KapilExposesKejriwal
Retweet And Maximum Tweet 

#KapilExposesKejriwal https://t.co/fdqLmqvYg0",en,2,24338,retweet and maximum tweet URL 
221,1213340799389224961,ProudlySanghi,1568586319110217731,2022-09-10 13:04:56+00:00,"#ArvindKejriwal Okay This Is Your #DelhiModel Of Development? 🍻

#LiquorShop #LiquorInMetro
#LiquorScam #KapilExposesKejriwal #ArvindKejriwal https://t.co/9poJS0xZIw",en,0,110,okay this is your of development URL 
234,1107294776892649472,iMayurMakwana,1568580904867725318,2022-09-10 12:43:25+00:00,"#KapilExposesKejriwal
Kejriwal model means the world's most polluted city. Kejriwal Govt hasn't done anything for the development of Delhi.",en,0,15248,kejriwal model mean the world most polluted city kejriwal govt hasn done anything for the development of delhi 
246,777774566873690112,sharmars003,1568576287203016704,2022-09-10 12:25:04+00:00,"Misinformation is a virus unto itself.
#KapilExposesKejriwal https://t.co/tLrKhjQBJw",en,0,3882,misinformation is virus unto itself URL 
253,119600080,sharadkoshik,1568572597801222151,2022-09-10 12:10:24+00:00,Exposes #KapilExposesKejriwal,en,0,72,expose 
254,3300423444,spydetectiveA,1568572157785182208,2022-09-10 12:08:39+00:00,"Spy Detective Agency is a Licensed and Well-known Detective agency in Mumbai in terms of offering reliable services to their clients.

https://t.co/bynA0ApLgt

#spydetectiveagency #mumbai #DeepikaPadukone #KapilExposesKejriwal #BrahmastraPartOneShiva",en,0,398,spy detective agency is licensed and well known detective agency in mumbai in term of offering reliable service to their client URL 
258,720334714968498177,zoneofdeals,1568570983573000198,2022-09-10 12:03:59+00:00,"https://t.co/V8BlXjlWle
Buy Vivo Y67 | Android Smartphone | 4GB +64GB JIO WORKING - Excellent New Condition | REFURBISHED SMARTPHONE- For Rs.4,599/-
.
#vivo #SachinTendulkar Part 2 #KapilExposesKejriwal 
#DeepikaPadukone #KanganaRanaut #music #iPhone PRATHNA ERA BEGINS #Viral https://t.co/ZIeW8Af9Mp",en,2,345,URL vivo y67 android smartphone 4gb 64gb jio working excellent new condition refurbished smartphone for r 599 part prathna era begin URL 
260,165656802,jagadisha1,1568570540058615810,2022-09-10 12:02:14+00:00,"#KapilExposesKejriwal through unconditional apology 😂😂😂

https://t.co/3RrnAh1ia7",en,0,851,through unconditional apology URL 
272,1151978410018668546,sanatani_sherrr,1568567141682806784,2022-09-10 11:48:43+00:00,"#KapilExposesKejriwal
RETWEET🙏😂 https://t.co/LdN4J4bNlB",en,0,1423,retweet URL 
276,2734580167,sunilmewada056,1568566813591760900,2022-09-10 11:47:25+00:00,"True
#KapilExposesKejriwal",en,0,4351,true 
306,1342107733210714115,ShalabhGarg19,1568560355751907335,2022-09-10 11:21:45+00:00,"Gujarat's(GSDP)  13.3% अग॰ 2022
Delhi GSDP 8.89%  2021-22.
NCT of Delhi unemployment rate was at level of 8.17% in Gujarat was 2.63 %. 
A classroom which could have been built in Rs 5 lakh was built in Rs 33 lakh.This is a clear case of corruption by the AAP
#KapilExposesKejriwal https://t.co/4d6XUr1Kab",en,0,2798,gujarat gsdp 13 2022 delhi gsdp 89 2021 22 nct of delhi unemployment rate wa at level of 17 in gujarat wa 63 classroom which could have been built in r lakh wa built in r 33 lakh this is clear case of corruption by the aap URL 
317,31656892,KapilMishra_IND,1568558196381581312,2022-09-10 11:13:11+00:00,"Look at the crowd and response in Ahmedabad, Gujarat 
#KapilExposesKejriwal 
 https://t.co/VUEwVvlo3v",en,81,1302156,look at the crowd and response in ahmedabad gujarat URL 
